gold_label,sentence1,sentence2
contradiction,A young girl in her school uniform dances in a water sculpture in the middle of a crowded public square.,The public square is empty.
contradiction,A brown dog in running on grass.,A dog is sleeping at the beach
contradiction,"A festival displays two men dressed in red makeup and costume, while an older man has cream on his face.",The couple just filed for divorce.
entailment,A group of three people climb a path of wooden stairs up a rocky hill.,The people are outdoors.
neutral,A carefully balanced male stands on one foot near a clean ocean beach area.,A man stands on one foot with his wife near the beach.
contradiction,Seven children all jump as the photo is taken.,Seven children stand still as the photo is taken.
neutral,The group of people make single file lines on the field.,Soldiers standing in lines outside.
entailment,Two dogs swimming.,Two dogs in water.
entailment,Reflections of people walking in a big city.,Several folks stroll through the city.
entailment,A man in a red hat and shirt with gray shorts attempts to do the splits.,The man is wearing a red hat.
neutral,"Three boys in a wooden-paneled room, one inspecting a bow.",Three boy scouts are inspecting a bow they will be practicing with for the next 2 days.
entailment,Chevrolet car on display at a convention,At a convention there is a Chevrolet car on display.
entailment,A track sprinter takes off after he hears the starting horn.,The man is a runner
contradiction,A skilled calligrapher is working at his art.,the calligrapher is blind and crazy and not skilled
entailment,A small group of people listen to a man in a blue shirt in front of a natural stone two-story structure with five steps leading to a white door on the lower level.,a man talks to a group of people
entailment,A Seattle firefighter standing in front of his truck.,The firefighter is standing.
entailment,a man with a tattoo on his arm cooking something in a frying pan.,A man cooks food.
contradiction,A man is throwing water on a woman in front of a brick building while two men and another woman watch.,Two men and another woman sing a song.
entailment,"A band performs beneath colorful stage lights, the bass player singing into the microphone while the guitarist and drummer play in the background.",a group of musicians mke music on stage
neutral,A boy in a blue shirt looks away from the camera as a girl in a pink and orange bathing suit stares into the camera in front of an RV.,A boy looks away from the camera with a sad face while a girl who has just been swimming looks into the camera with no expression.
entailment,The man wearing jacket is looking at he bike.,A man is watching the bicycle.
neutral,A black and brown dog attempts to catch a red ball in its mouth.,A dog is playing catch outside.
entailment,A older gentleman finds it humorous that he is getting his picture taken while doing his laundry.,a guy laughs while doing laundry
contradiction,A bulldog is running through a grassy park while people stand in the background.,A bulldog laying in the shade of a large oak tree.
entailment,A man rock climbs with a city and body of water in the background.,A man is outside.
neutral,a woman holding a child in a purple shirt,a woman and her son
neutral,The little blond-haired child is walking up the slope.,A child is walking towards his mother.
entailment,"Three people are playing a game, wearing white clothes, somewhere tropical.",A few people playing a game in the tropics.
entailment,An overweight man in a blue and black hooded sweatshirt works on a laptop computer outdoors.,A man does some work while sitting outside at a park.
entailment,A man in a large crowd converses with his friends.,A man is talking to a bunch of his friends.
entailment,"A man in a black shirt is working out in a gym, while a woman behind him is on a treadmill.",Two people exercise indoors.
contradiction,A black dog walking through water.,A man throws a ball to a boy.
entailment,A group of people sitting in a grassy area under a pink and white blossoming tree.,there is a group of people outdoors.
entailment,Four female children gather around a brown table to paint.,Kids are working on art.
neutral,A woman in a purple sweater has an odd look on her face.,A woman in a purple sweater and black jeans  has an odd look on her face.
neutral,Two men are listening to music through headphones.,Two men listen to Nine Inch Nails through headphones.
entailment,Two hikers rest on a snow-covered mountain.,The hikers sit in the snow.
contradiction,An older man in a blue shirt planting seed in pots with potting soil.,Nobody is planting.
neutral,"A young lady walking down the street wearing a black jacket, sunglasses, sneakers, jeans, & gloves.",A lady dressed in black is heading to the office.
neutral,A band is performing on stage for people.,A rockband playing music at a performance
entailment,"A person wearing a striped shirt, headphones, and a headscarf watches a street with a large truck driving through.",A large truck drives down a street while a person in a striped shirt watches.
contradiction,Two young girls looking at Barbie dolls.,A girl and a boy are running with toys.
neutral,"A man in a blue plaid shirt and blue jeans, wearing a black helmet, pauses to drink water next to a large blue steel corrugated tube.",The man is drinking water after riding a bicycle.
neutral,A small group of adults and children stand on a cobblestone street outside of an Irish pub.,A small group of adults and children stand happily on a cobblestone street.
contradiction,A woman walks by a brick building that's covered with graffiti.,The woman is in the bathroom.
contradiction,People dressed in costumes walking down a street.,A naked man walking down the street.
contradiction,Man wearing dark clothes walks down a street with a wall of graffiti to his left.,The man is painting the street.
contradiction,One military man executes a combat move on another outside a gated facility.,Two men are fleeing an enemy camp in a homemade hot air balloon.
neutral,A hot-air balloon getting filled.,A hot-air balloon is being prepared for take off.
entailment,"Five Women, wearing beautiful, colorful saris, in a circle, dancing with their hands raised and touching.",There are five women close to each other.
entailment,Two boys are holding red kites with water in the background.,Persons are involved in outdoor recreation.
entailment,"A man is standing on the sidewalk, playing a guitar and singing, with a container of tips by him.",A man is performing outside.
contradiction,A smartly dressed woman wearing a white jacket is holding a camera.,A woman attracts man to help her
neutral,A group of people dressed in formal wear pose for a picture.,Wedding party portrait with bride and groom.
neutral,A nun uses her camera to take a photo of an interesting site.,A nun using her camera to take pictures of various things outdoors.
neutral,A girl lays on a wooden deck with a piece of clothing covering her face.,A person is taking a nap on a summer afternoon.
entailment,"Woman is playing with a young girl, by holding her upside down.",Woman is  holding a child upside down.
neutral,Man reading a book while working as a street vendor.,A man takes a break from his job to read.
contradiction,A man is navigating a boat.,A man is steering his car down the highway.
neutral,A couple sit on a park bench with purple balloons tied to it.,People at a birthday party.
neutral,A child wearing a red shirt playing.,A child wearing a red shirt playing outside.
entailment,"Three men; one pedaling while playing drums, one playing piano and one both pedaling and steering, move a type of mobile band down a street.",Three men are playing outside
contradiction,A group of children of varying ages are sitting at large tables eating.,The children are playing tag.
contradiction,People sit around a circular bar.,people sit around a bus stop
contradiction,A man pushing a food cart stands in front of a stone building and holds onto the bars covering a window.,A man adjusts his hat before a meeting.
neutral,Blond tennis player pauses to view the crowd.,A tennis player is getting anxious because all the people are watching.
contradiction,A woman sits at a table outdoors with magazines on her table.,A woman stands near her husband.
entailment,"As part of a manicure, a person has their nails filed to the proper length and shape.",A woman has her nails filed for a manicure.
neutral,The boy wearing the blue hooded top is holding a baby goat in his arms.,The goat jumped into the boys arms.
neutral,A woman in a blue dress is sweeping the floor in a cobblestone road,The woman sweeps in preparation.
entailment,"While drinking a coupe of Red Stripe beers, a man with a gray t-shirt speaks to another man wearing a blue button up shirt.",A man is drinking beers
neutral,A dog is running through an obstacle course in front of a group of people.,A dog is competing in a contest
neutral,"Many people are listening to a concert, and TV crew is recording the audience reaction.",People are enjoying a rock concert.
neutral,A woman is pushing her bike with a baby carriage in front.,A woman is going for a ride in the park with her baby.
neutral,A black race car starts up in front of a crowd of people.,A black car is preparing for a race.
entailment,"Two orthodox Jews, one male, one female, are shown in traditional dress in a sidewalk scene.",Two jews are shown in a sidewalk scene.
entailment,The surfer crouches low and rides the wave.,A person surfs.
neutral,A young girl who is barefoot and with a scarf over her head dips her pen in ink and writes in a notebook.,girl writes poem
entailment,Man is chopping wood and is about to be pushed over by another person.,A man is chopping wood.
entailment,"A woman is at an art studio, painting a mural from her art supplies.",The woman is indoors.
entailment,"A snowboarder in a red jacket flies through the air, above a hill of snow, and next to a red and white sign.",The snowboarder has gotten air.
neutral,"People mingling in the foreground and background, two of them are walking towards those in the background that are positioned nearby of a building that is overshadowed by a large number of trees, while the two in the foreground are tending to a horse drawn carriage.",Some Amish people are fixing their carriage while other people walk or stand nearby.
neutral,An athlete on the Slough Jets hockey team is skating on an ice rink with a hockey stick equipped.,A hockey player warming up in the rink.
neutral,Seven children all jump as the photo is taken.,They are on a trampoline.
neutral,A woman in red shorts is writing on a tablet.,A woman is writing a letter to her mother.
entailment,A little girl is sitting on a bench in a park.,The little girl is at a park.
contradiction,A small group of people listen to a man in a blue shirt in front of a natural stone two-story structure with five steps leading to a white door on the lower level.,an eagle sits in a tree
neutral,A woman dressed in black looking perplexed and a woman in a red jacket offering to help her.,A woman is scowling.
entailment,"A small group of young black men, some in traditional African dress, are assembled outdoors.",Some black men are outdoors.
entailment,A mom and son enjoying a day in the park.,A mom and son enjoying a day
neutral,"Two men are in an electronics workshop, working on computers or equipment.",The two men are electronics enthusiasts.
entailment,A group of women observe as two men attempt to fix their bikes.,Several women watch as two men work on bikes.
neutral,A man is looking affected by results from his poker game.,The man lost the game
neutral,A badminton player from china is sprawled out on the badminton court with his racket close by.,A badminton player is taking a nap.
entailment,Two kids in winter clothing play near a lakefront.,kids playing near a lake
contradiction,"A well built black man stands in the subway, listening to headphones.",A man is dancing for tips on the street.
entailment,A group of Asian men pose around a large table after enjoying a meal together.,A group of Asian men just ate a meal together.
entailment,A blond singer wearing a black shirt is singing into the microphone.,A person is singing into a microphone.
neutral,People are getting money our of an ATM.,People are getting free money from a broken ATM.
neutral,A woman with blond-hair is sitting at a table and talking to a man with glasses.,A blonde woman sits with her legs crossed.
entailment,A surfer is surfing catches a wave.,A surfer catches a wave.
contradiction,a child is on the ground crying.,A child sleeping soundly inside its crib.
neutral,A boy is outside jumping over a flower bush on a skateboard.,a boy on his skateboard he got for Christmas
entailment,A man in a green and black coat is leaning on trashcan.,A man in a coat is leaning on a trashcan.
entailment,A young blond girl with a red and blue mark on her cheek.,a young girl
entailment,Race team in black t-shirt service their red and white car.,The race team is working on the car.
entailment,Two females and one male looking at various merchandise.,Two girls and one man are browsing the store.
entailment,A woman walking across an old rope and driftrood bridge between mountains.,A woman walking on an old bridge near a mountain.
neutral,A girl in red dividing colored tabs.,Girl is preparing for next semester.
contradiction,"Two women both in sandals, one in a green hat is tying the other woman's dress strap.",Two men are getting dressed.
entailment,People work diligently on there computers at their desks.,Several persons were at their desks working diligently at their computers
entailment,A carefully balanced male stands on one foot near a clean ocean beach area.,A man is ouside near the beach.
entailment,Dog running down paved walkway near a Japanese maple tree.,A dog running outside.
contradiction,A man standing in a stairwell with a green strip on the wall.,A man is running down the sidewalk.
entailment,A man and a woman are shopping at a large hardware warehouse store.,A couple is shopping in a store.
neutral,People are walking along the street.,The people are walking in a parade.
contradiction,The dog is catching a treat.,the cat is not catching a treat
contradiction,"A man in a blue shirt, khaki shorts, ball cap and white socks and loafers walking behind a group of people walking down a stone walkway with a water bottle in his left hand.","A man in a blue shirt, khaki shorts, ball cap and blue socks and loafers walking behind a group of people walking down a stone walkway with a water bottle in his left hand."
neutral,Horses jumping a hurdle in a race.,Horses are jumping over a hurdle in the last race of the day.
neutral,A person surfs through a wave as it crashes down.,A person is scared of the waves.
entailment,"Two men one in orange shirt, who is ahead, and one in green shirt running a race.",Two men running in a race.
contradiction,A cabin shot of a very crowded airplane,The airplane is empty.
neutral,A young women dips her feet into a natural spring in an outdoor setting.,A college aged woman is sitting by a spring.
neutral,A musician with short blond-hair and wearing a blue scarf and vest plays a string instrument while singing.,A tall person with a scarf
contradiction,An old ban with a black hat and tie walks down a city street.,The cat has no owner.
neutral,An old man and lady in a white uniform is standing next to a man in black playing an instrument.,An old man and his nurse are listening to the musician play.
contradiction,Reflections of people walking in a big city.,Musicians play a concert on a busy street.
entailment,A chef is giving a sample of food to a customer.,A chef gives a sample.
neutral,A man with glasses and a Hawaiian shirt is standing next to a dog while another man with a blue hat looks at them from the back.,"Two men are following the actions of a dog, one stands next to the dog."
entailment,A bridesmaid gives a toast with a microphone while two other bridesmaids and a gentleman look on.,A bridesmaid is giving a toast.
contradiction,A few people walking in the distance of a small town.,There are people bombing the town
contradiction,"A man holds a baby, which is chewing on eyeglasses.",The baby is sucking on a pacifier
contradiction,Two people are sitting next to a wood-stacked campfire at night.,The sun is shining brightly on the people.
neutral,A person throwing a yellow ball in the air.,The ball is heavy
entailment,A youth is kicking a soccer ball in an empty brick area.,A human kicking.
neutral,Ski equipment sits alone on a snowy mountain,Skis and boots are outside a ski lodge while the skiers enjoy a hot drink indoors.
entailment,Black dog with white puppies laying on the floor.,A black dog surrounded by puppies.
contradiction,A child wearing a red shirt playing.,A child wearing a yellow shirt sleeping.
entailment,Four cheerleaders performing a cheer on court at UCLA.,Cheerleaders performing a cheer.
neutral,Dog standing in grassy sand dune.,A puppy stands in a sand drift near American dune grass.
contradiction,Three men look on as two other men carve up a freshly barbecued hog in the backyard.,Other look while a man carves beef
neutral,A brown dog with a purple Frisbee in its mouth.,A dog and owner are playing Frisbee outside.
contradiction,A standing man in a suit finishes his turn in a chess game as his seated opponent begins his in a crowded park.,A business man is fishing alone in the middle of the Pacific ocean.
entailment,a boy walks through the water.,A boy walks on water.
entailment,A square full of people and life.,The square is busy.
contradiction,A man balances a ball on a Japanese umbrella.,A man sits and reads.
entailment,A nun is taking a picture outside.,A woman is outside
neutral,a skateboarder ollies.,Someone is skateboarding outside.
neutral,There is a teen boy and a younger boy with the same shirts on in a room full of people.,People are on a class trip.
contradiction,"A man wearing a green shirt and a leaf on his head, runs in a race with a bottle of water in his hand and his eyes closed.",A woman is eating dinner
contradiction,A woman in an red tracksuit squeezing lemons in a press.,A woman reading a book.
contradiction,"A young man wearing a blue shirt with white words, black jeans, and inline skates is sitting on a concrete seat looking forward while a group are people are in the background.",A young man in a red shirt sits in his ice skates.
contradiction,An older couple is resting on a bench.,A couple is walking in the park.
neutral,A brown kid wearing jeans and no shirt is weaving a straw rug.,The boy is weaving a rug in the barn.
contradiction,"Many people are listening to a concert, and TV crew is recording the audience reaction.",A band is practicing in front of an empty room.
contradiction,A little girl with brown hair is blowing the petals off of a flower.,A little girl is sleep.
entailment,The exhaustion in the woman's face while she continues to ride her bicycle in the competition.,A person on a bike
contradiction,A woman on vacation enjoying a vanilla ice cream cone.,A woman is putting ice cream in her shoe.
entailment,Three girls fell on top of one another and are laughing histerically.,Three girls laughing about clumsily falling on each other.
contradiction,A woman in a brown shirt and a man in a hat cross the street.,A man and woman are walking down the hallway of their house.
neutral,Three young people sit outside and engage with electronic devices.,They are all using phones.
contradiction,Two girls on an amusement park ride smiling and laughing.,The two girls were home watching television and feeling sad
neutral,"Two men one in orange shirt, who is ahead, and one in green shirt running a race.",Two men wearing tags displaying their race numbers
contradiction,An old man is sitting down in the street.,An old man rides a bike up the hill.
neutral,"A smiling baby wearing a striped shirt, held by a woman with gray hair.",The baby is happy because he is with his grandmother.
neutral,Two people watch TV from over a white ledge.,Two people are watching sports on TV.
neutral,A man in a red hat and blue jacket in a protest is holding up a tablet that talks about God and judgement.,The man protesting is caucasian.
contradiction,"A man in a blue shirt, jumping down a hill in a park.",A man is sleeping.
contradiction,A person wearing orange pants in playing in the mud.,A young girl is standing next the sandbox.
neutral,A man with an open shirt and glasses holding a microphone and another man in a bowler hat and plaid suit using a bow on an instrument.,Sam and Ben are playing in a bar.
entailment,A lady and a man are on stage dancing with flexibility.,Two people are dancing on a stage.
contradiction,A girl carries large sacks across a backdrop of foliage.,a girl with a sack also known as a he she
neutral,A little boy bowls in a carpeted hallway.,A boy is rolling a ball in a hotel hallway.
contradiction,"A squatting couple outdoors, engaged with a kneeling street performer or vendor reading from a book of manga.",Some people walk quickly.
contradiction,The brown dog has a hold of the other dogs cheek with its teeth.,The black dog licked the other dog's rear.
contradiction,"People in a grocery store crowd around to watch a Tv, except one man who walks toward the camera.",The people are crowded around a street performer.
neutral,"At a little league baseball game, an umpire calls ""safe"" as a player crosses home.",A player is winning a baseball game.
contradiction,Making something tasty hope you like lemons!,A lady is sewing up a hole in a dress.
entailment,A child holds a football and runs from other children.,The children are playing football.
contradiction,A band of young musicians are playing an intimate concert to a small crowd in an outdoor courtyard.,the band is at home sleeping
contradiction,Small red airplane flies over mountaintop dropping red substance over fire.,the plane is crashing
neutral,A group of schoolgirls are standing together while one is taking pictures.,The schoolgirls are graduating soon.
neutral,Two young boys in swimming trunks are in the water looking at each other.,The brothers look at each other
entailment,A young girl in her school uniform dances in a water sculpture in the middle of a crowded public square.,The girl is wearing a uniform.
neutral,A skydiving instructor with a student strapped together while skydiving.,Two men are jumping from a plane.
contradiction,Two people are walking towards a wooded building.,The building is walking toward the men.
neutral,"A woman smiling as she hold two white dishes of food up, there is also a table full of food on the table.",A woman is proud of her culinary accomplishments.
contradiction,A football player in a black uniform appears ready to tackle an opponent in a white uniform who is in possession of the ball.,Two men are playing basketball outdoors.
contradiction,"A topless man with tattoos, black pants, and black boots is standing on a platform in front of a mirror.",the man is lying on the roof
entailment,A man walking by a cement column next to the sea.,There is a person near some water.
contradiction,People wearing red shirts are standing in a large pool of water as it splashes over and around them.,Nobody has a shirt on
neutral,A woman is talking on the phone while standing next to a dog.,A woman is walking her dog.
neutral,"A young girl wearing a blue, flowered, spaghetti strap dress is eating marshmallows on a stick while sitting in a bucket of water.",a silly girl plays near a water bucket
contradiction,Two women walking near a pond.,Two men running around a pond.
neutral,Children standing and climbing near a fountain.,Children standing and climbing near a fountain after school.
neutral,Two horse riders and three walkers are going down a dusty path.,Five people in the rain on a path
entailment,Seven men wearing bright orange reflective vests are looking inside the door of a red train.,A group of men are looking in a train.
contradiction,A man wearing a green shirt is grinning at the computer screen with his hand on the mouse.,the man is in a white suit
contradiction,A baby wearing a bib makes a funny face at the camera.,A baby spits up all over his bib.
entailment,The brown and white dog is playing in the snow.,A dog in the snow.
entailment,A female researcher videotaping a specimen.,A female is recording her research. `
neutral,A lumberjack cuts down a pine tree in a snowy area.,A lumberjack wields a chainsaw to chop down a pine tree.
contradiction,Two Asian women talking and having drinks at a small round table.,Two ladies are sitting at the bar.
neutral,A dune buggy with one male passenger gets some air as it drives over a sand dune.,A dune buggy with one male passenger is racing.
entailment,Two pedestrians walking past a sidewalk cafe on a cobblestone street.,two pedestrians walk on a cobblestone road past a cafe
neutral,Man observes a wavelength given off by an electronic device.,The man is running an experiment.
contradiction,a snowboarder jumps over a barrel.,An old man sits in a hospital waiting room.
neutral,A blond-hair boy holding a toy airplane is in front of what looks like a colorful toy monster.,"A child at a birthday party, holds his new presents as the other children look on and smile."
contradiction,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",The woman is talking on a telephone.
entailment,Two men walking their canoe through the woods.,a couple of men walk their canoe
neutral,A woman wearing a red dress and head covering is standing outside of a building.,A woman is outside on a cloudy day.
neutral,A young barefoot girl in a pink dress is jumping outside.,A little girl is playing jump rope.
entailment,"A woman with dark hair wearing a dark shirt, jeans, and glasses is talking into a microphone.",A woman is speaking into a device.
entailment,A teacher is talking to a classroom full of children.,An adult is instructing children.
entailment,Woman wearing a white donkey costume while talking to a man.,A woman is wearing strange clothing.
neutral,A construction man appears to be staring at a device.,The man is marveling at the technology.
neutral,"Two men, both have glasses, are wearing striped shirts are in the kitchen preparing a meal and washing up.",Two men are fixing their wives a romantic dinner for Valentine's Day.
neutral,There are three woman conversing at a table with drinks.,The women are drinking wine
neutral,A brown dog leaps into water from a rock.,A dog leaps into a lake from a huge rock.
neutral,Two dancers in azure appear to be performing in an alleyway.,A couple practice their jazz dance routine in the alleyway.
contradiction,A man in a black suit and tie is walking in front of a fancy building with the word grace written on it,A woman walks in front of a newly establishes building
entailment,An accordion player with a cowboy hat plays his instrument as he looks off into the distance.,An accordion player is making music.
entailment,Beautiful red car among many at a car show full of excited car enthusiasts held on a tree lined street.,There is a beautiful car displayed.
neutral,"Lonely woman eats alone again, chatting with her internet boyfriend at a diner.",An old woman is eating at a diner.
entailment,"A golden-colored dog, with his eyes alert, holds a brightly colored tennis ball in his mouth.",The dog is light colored
entailment,Several Asian women dressed in black outfits and crowns are holding plates with food on them.,women carry food on plates
contradiction,People in orange robes line up behind a man wearing sunglasses.,People are playing basketball.
entailment,A woman in a tomato-colored jogging suit carries both a red purse and a navy blue messenger bag.,The woman has 2 bags.
neutral,A man wearing lime green pants and shirt working on a sign.,A sad man wearing lime green pants and shirt working on a sign.
contradiction,A man in his skateboard jumping over a grocery cart as his friends in the back watch.,The man is riding a motorcycle.
neutral,"A young girl in pink pants and a white top stands watering a group of household plants in her driveway, standing next to the family car.",A young girls is watering the plants next to the her dads cars.
neutral,A race car speeds away while a man covers his ears.,The race car is on a track
neutral,Six women that are showing their nationality by holding a flag.,The women are Spanish
contradiction,A man in a gray shirt sorts through Hawaiian style shirts in a department store.,The man is shopping at the hardware store.
neutral,A young boy with his mum going home after playing toy games.,A child is with his mum and crying.
contradiction,A man in a red hat and shirt with gray shorts attempts to do the splits.,The man has a blue hat.
contradiction,Two people riding bikes in the rain at skate park.,Two people are walking.
entailment,There are people walking down a busy nighttime street with signs lighting the way.,People are walking down a busy street.
entailment,A black and white dog prepares to catch a Frisbee.,A dog prepares to catch a Frisbee.
contradiction,Four girls are dancing in matching outfits at a street festival.,The four girls are playing card games at the table.
neutral,A man is holding a bus pole in front of a building.,The man is waiting for the bus
contradiction,Two men in uniform hold up sign with young children.,Two men are destroying signs that kids created.
neutral,A man jumps in front of a palace in China.,The street is crowded.
entailment,A young man with blond dreadlocks sits on a wall reading a newspaper as a woman and a young girl pass by.,A young male is looking at a newspaper while 2 females walks past him.
neutral,"A man is standing on the sidewalk, playing a guitar and singing, with a container of tips by him.",A man is earning his living by singing to strangers.
contradiction,A little boy sitting on the ground looking up at some men dressed up like an alien creature or machine.,The little boy is running.
entailment,An Asian man attempting to repair a green bicycle outdoors while two other Asian men stand by.,A man is fixing a bike.
neutral,A group of men are playing basketball as the sun sets.,There are two men with a basketball.
contradiction,Five people wear name tags on a necklace and pose together.,The people are on the subway.
neutral,A group of Scottish officers doing a demonstration.,10 officers performing a demonstration outside.
entailment,Gymnast does a flip on blue flooring.,A gymnast displays their skills with a flip
neutral,two young children on a skateboard going across a sidewalk,Two young children are going to the park.
entailment,Two boys stand in an ocean as the sun sets.,Boys are standing
neutral,A child holds sparklers in the dark.,A child holds bright sparklers in the dark.
entailment,Two little kids laugh on a blue swing.,Two children are playing on the swings.
contradiction,A girl sits on a bench holding an inflatable tiger next to another girl in a colorful outfit.,The girl is standing on a bench.
entailment,Skier wearing red walking up a snowy hillside.,Skier in red suit walking up the hill.
entailment,A man with blond-hair and tattoos strolls behind bleachers on the cellphone.,A man talks on his cell phone.
contradiction,Two men are in a bare room sweeping the floor.,two woman talking
entailment,Young girls are running along in a park.,Girls run outside in a park.
contradiction,A large tan dog is rolling around on its back in a yard of grass.,A small dog is sitting in the rain.
contradiction,"There is one person lying in a large, green field.",There is someone running through a forest.
entailment,A gymnast in a blue and pink leotard is standing on her right foot with her left foot in the air and waving a ribbon.,A gymnast is waving a ribbon.
neutral,A race dog numbered six is midair.,The six is green
contradiction,The room full of youths reacts emotionally as they spectate.,a room of kids dancing.
contradiction,A man drags a young boy in swim trunks into the surf at what appears to be a beach in a tropical location.,A man is baking a loaf of bread.
contradiction,"Three people, a woman and two men ride scooters amongst the pedestrians of a busy city street.",The three people are walking.
entailment,"A man, with a green cloth over his face, rests with his arms crossed beside a tan wall.",The man is covering his face and taking a break.
entailment,Boys on a field playing flag football with one boy wearing the red flag clutching the football while a boy with a yellow flag dives to get his red flag.,A boy attempts to tackle an opposing player in a game of flag football
contradiction,A dog with big ears holds a ball in his mouth.,The dog has small ears.
entailment,"Two young man are getting ready for a game of pool on a purple pool table, with another young man in the background, holding a drink.",a young man sits with two others near a pool table and a drink
neutral,An orange car is driving across a steel bridge in a city.,A car is driving across the bridge on it's way to work.
entailment,A woman in a blue shirt and black workout pants practicing martial arts in front of a house.,A woman has a blue shirt.
neutral,"AN older woman appears to read from a children's book in an indoor setting, while a seated gentleman in a service uniform looks on.",A grandmother reads to her grandchild while his grandfather watches.
contradiction,Men are running and jumping and twisting in the air as a crowd of people watches.,Two men are sitting on a bench as a crowd watches.
neutral,A balding man with a checkered shirt and khaki pants naps on his recliner with his keys on his lap.,A old man interact with his keys
contradiction,Two men on bicycles competing in a race.,A few people are catching fish.
entailment,A man and woman sit on a park bench with a set of newlyweds behind.,People outside.
contradiction,Hockey players play a game on the ice.,People are competing in figure skating.
contradiction,A group of men walks next to train tracks that are covered in snow.,Some men are sitting in a hottub.
entailment,"A young woman with red hear and wearing a bikini top is standing with her hands together above her head, while three other people stand directly behind her with their arms in different positions, making the woman in front look as if she has many arms.","Four young people are lined up  behind another and they are holding their arms out so it looks like the arms all belong to the first person, a red haired woman in a bikini top."
neutral,Two children playing on the floor with toy trains.,The children played on the floor with their new christmas toys.
entailment,A woman with a red scarf is juggling oranges.,A woman is performing a trick.
entailment,young female in striped shirt holding baby boy with red striped outfit,Young woman holding baby boy.
neutral,"A bunch of people are watching a man with his left arm wrapped around the legs of his downed, struggling wrestling opponent on a blue mat.",The people watching the wrestlers are their parents and friends.
neutral,There are two workers one is bent over with his butt to the camera,The worker is picking up a wrench from the ground.
neutral,Two young males playing basketball on a basketball court.,The high school freshmen practice in hopes of making varsity.
entailment,An athlete executes a judo throw while a judge watches.,The athlete competes in front of the judges.
neutral,"A young girl with long hair, glasses and a lip ring playing on her iPhone in a brightly lit room.",the girl is white
entailment,Snowboarder sails in the air.,A snowboarder is out snowboarding.
neutral,Man wearing a mask of an old man.,A man wears a green mask.
neutral,A black and white dog jumping over a red and white bar.,The dog is competing in an agility contest.
contradiction,A man is holding a bus pole in front of a building.,The woman is finishing her work as a hair stylist
neutral,Four people in emergency suits and helmets spray water from behind a cement wall.,A emergency staff tends to a situation.
contradiction,A butterfly costumed girl waves at the crowd.,The crowd is staring up at the man on the stage.
contradiction,A man with a mustache is playing ice hockey with snow in the background.,People are swimming in the lake.
entailment,A man in a red shirt plays his guitar while looking down.,A man playing an instrument
neutral,Two dogs playing on snow covered ground,The dogs are both brown.
neutral,An elderly man sleeping in a outdoor chair while another woman sits next to him.,Two people are outside.
contradiction,A woman cooking and drinking wine from the bottle.,A woman is drinking apple juice.
neutral,A large group of people walking down a city street.,group of people going to lunch
contradiction,Two older males sitting together on a river boat tour.,young ladies are riding a boat.
contradiction,A woman is sitting outside while holding two cats.,The women is holding a dog.
neutral,kids drawing something on paper,The kids are drawing pictures of animals.
entailment,A man in a black hat and jacket is sitting down.,A man sitting down is wearing a black hat and a jacket.
contradiction,"People go about their daily routines- selling food, cutting hair- on the ghetto streets of Ho Chi Minh City, Vietnam.",People are flying a plane
neutral,A man sits on a bench beside his bike while viewing the scenery around him overlooking a busy city.,The man is tired from riding his bike.
contradiction,A group of girls in matching brown dresses and sandals dance in unison.,The girls sleep.
neutral,Four girls are dancing in matching outfits at a street festival.,The four girls are dancing along to the song playing on the loud speaker.
neutral,Two men dressed in black practicing martial arts on a gym floor.,Two men are training in jeet kun do on the gym floor.
neutral,"Man in white t-shirt, black shorts, walking along side female with a white tank top, beige shorts, and an older woman with black hair, white shirt, black shorts.",Man walks with his wife and her mom.
entailment,A man jumps in front of a palace in China.,A man is jumping.
entailment,There are a lot of people in front of a tan building with colorful squares hanging from the top.,People stand in front of a building
contradiction,A woman is writing something on a post-it note which is hanging on a bulletin board with a lot of other post-it notes.,The woman is talking on the phone.
neutral,A group of people gathered to watch fireworks.,The group gathered inside the house.
neutral,Two people are walking down the street holding hands in the fall.,A couple is looking for a house.
entailment,A boy rides on a camel in a crowded area while talking on his cellphone.,A boy is riding an animal.
contradiction,The man is doing stunts with his bicycle.,The man is skating backwards for the crowd.
contradiction,A band on stage playing a song with a banner in the background that says Screaming Orphans.,The band is unloading their equipment from their van.
neutral,"Male volleyball players in red attempt to score on the other team, lighter red.",Volleyball players in red are beating the other team.
neutral,Man in while shirt and blue jeans holding hands while walking with a little girl in a blue dress and yellow hat.,A father holds his daughter's hand
entailment,A man in a beige trench coat is walking in the rain.,A gentleman wearing a beige trench coat is walking in the rain.
entailment,A gentleman carrying the 2012 Olympic torch being follow by a car on a people lined street.,a man carries the 2012 olympic torch while being followed by a car
entailment,A woman runs by in the foreground as other competitors stand on the sideline.,A lady is running.
contradiction,A Man in a blue shirt and jeans is walking across the street.,A woman is running on a dirt track.
entailment,A woman crossing a busy downtown street.,A lady is walking down a busy street.
entailment,A man takes a nap on the sidewalk in a busy city.,Someone is asleep on a sidewalk.
contradiction,A child rests on her mother lap exhausted from a day of sun and fun at the beach.,The beach is on Venus.
entailment,"In a Little League baseball game, the batter watches as the ball he has just hit flies off toward right field, with the catcher looking on.",The batter watches the ball fly towards right field
entailment,A group of women are standing in front of a building.,Some ladies are near a building.
